16:10:15.692 [main] INFO  io.redit.execution.RuntimeEngine - Waiting for event E1 ...
16:10:15.820 [main] INFO  io.redit.execution.RuntimeEngine - Sending test case event E1 ...
16:10:15.987 [qtp148912029-22] INFO  io.redit.execution.EventService - Event E1 received!
16:10:15.987 [main] INFO  io.redit.execution.RuntimeEngine - Waiting for event E2 ...
16:10:16.030 [main] WARN  o.a.h.i.e.ErasureCodeNative - ISA-L support is not available in your platform... using builtin-java codec where applicable
16:10:16.091 [main] WARN  o.apache.hadoop.hdfs.DFSOutputStream - Cannot allocate parity block(index=3, policy=RS-3-2-1024k). Not enough datanodes? Exclude nodes=[]
16:10:16.091 [main] WARN  o.apache.hadoop.hdfs.DFSOutputStream - Cannot allocate parity block(index=4, policy=RS-3-2-1024k). Not enough datanodes? Exclude nodes=[]
16:10:16.673 [main] WARN  o.apache.hadoop.hdfs.DFSOutputStream - Block group <1> failed to write 2 blocks. It's at high risk of losing data.
16:10:16.674 [main] INFO  io.redit.execution.RuntimeEngine - Sending test case event E2 ...
16:10:16.688 [qtp148912029-35] INFO  io.redit.execution.EventService - Event E2 received!
16:10:16.689 [main] INFO  io.redit.execution.RuntimeEngine - The run sequence is completed!
16:10:16.689 [main] INFO  i.redit.samples.hdfs14987.SampleTest - completed !!!
