Fri Dec 23 05:51:37 UTC 2022 Starting master on server3
core file size          (blocks, -c) unlimited
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 62564
max locked memory       (kbytes, -l) 64
max memory size         (kbytes, -m) unlimited
open files                      (-n) 1048576
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 8192
cpu time               (seconds, -t) unlimited
max user processes              (-u) unlimited
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2022-12-23 05:51:38,004 INFO  [main] master.HMaster: STARTING service HMaster
2022-12-23 05:51:38,004 INFO  [main] util.VersionInfo: HBase 2.2.2
2022-12-23 05:51:38,004 INFO  [main] util.VersionInfo: Source code repository git://6ad68c41b902/opt/hbase-rm/output/hbase revision=e6513a76c91cceda95dad7af246ac81d46fa2589
2022-12-23 05:51:38,004 INFO  [main] util.VersionInfo: Compiled by hbase-rm on Sat Oct 19 10:10:12 UTC 2019
2022-12-23 05:51:38,004 INFO  [main] util.VersionInfo: From source with checksum 4d23f97701e395c5d34db1882ac5021b
2022-12-23 05:51:38,136 INFO  [main] util.ServerCommandLine: hbase.tmp.dir: ./tmp
2022-12-23 05:51:38,136 INFO  [main] util.ServerCommandLine: hbase.rootdir: hdfs://mycluster/hbase
2022-12-23 05:51:38,136 INFO  [main] util.ServerCommandLine: hbase.cluster.distributed: true
2022-12-23 05:51:38,136 INFO  [main] util.ServerCommandLine: hbase.zookeeper.quorum: 10.2.0.7:2181,10.2.0.6:2181,10.2.0.13:2181
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:PATH=/usr/local/openjdk-8/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_LOGFILE=hbase--master-server3.log
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:JAVA_URL_VERSION=8u242b08
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:JAVA_HOME=/usr/local/openjdk-8
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:LANG=C.UTF-8
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:REDIT_EVENT_SERVER_IP_ADDRESS=172.17.0.1
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_REST_OPTS=
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:JVM_PID=251
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:PWD=/hbase/hbase-2.2.2
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:JAVA_VERSION=8u242
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:FAKETIME_NO_CACHE=1
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_ROOT_LOGGER=INFO,RFA
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_ENV_INIT=true
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_IDENT_STRING=
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_ZNODE_FILE=/tmp/hbase--master.znode
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:JAVA_BASE_URL=https://github.com/AdoptOpenJDK/openjdk8-upstream-binaries/releases/download/jdk8u242-b08/OpenJDK8U-jdk_
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_DIR=/hbase/hbase-2.2.2/logs
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_LOG_PREFIX=hbase--master-server3
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:OLDPWD=/
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:FAKETIME_TIMESTAMP_FILE=/redit_libfaketime
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: se/hbase-2.2.2/lib/okhttp-2.4.0.jar:/hbase/hbase-2.2.2/lib/okio-1.4.0.jar:/hbase/hbase-2.2.2/lib/osgi-resource-locator-1.0.1.jar:/hbase/hbase-2.2.2/lib/paranamer-2.3.jar:/hbase/hbase-2.2.2/lib/protobuf-java-2.5.0.jar:/hbase/hbase-2.2.2/lib/snappy-java-1.0.5.jar:/hbase/hbase-2.2.2/lib/spymemcached-2.12.2.jar:/hbase/hbase-2.2.2/lib/validation-api-1.1.0.Final.jar:/hbase/hbase-2.2.2/lib/xmlenc-0.52.jar:/hbase/hbase-2.2.2/lib/xz-1.0.jar:/hbase/hbase-2.2.2/lib/zookeeper-3.4.10.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/audience-annotations-0.5.0.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/commons-logging-1.2.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/findbugs-annotations-1.3.9-1.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/htrace-core4-4.2.0-incubating.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/log4j-1.2.17.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/slf4j-api-1.7.25.jar:/hbase/hbase-2.2.2/lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2022-12-23 05:51:38,137 INFO  [main] util.ServerCommandLine: env:HBASE_MANAGES_ZK=false
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:REDIT_EVENT_SERVER_PORT_NUMBER=38707
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HBASE_AUTOSTART_FILE=/tmp/hbase--master.autostart
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HOSTNAME=server3
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:LD_PRELOAD=/usr/local/lib/faketime/libfaketimeMT.so.1
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HBASE_NICENESS=0
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:DONT_FAKE_MONOTONIC=1
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HBASE_SECURITY_LOGGER=INFO,RFAS
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HBASE_HOME=/hbase/hbase-2.2.2
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HBASE_THRIFT_OPTS=
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:SHLVL=2
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:HOME=/root
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: env:MALLOC_ARENA_MAX=4
2022-12-23 05:51:38,138 INFO  [main] util.ServerCommandLine: vmName=OpenJDK 64-Bit Server VM, vmVendor=Oracle Corporation, vmVersion=25.242-b08
2022-12-23 05:51:38,139 INFO  [main] util.ServerCommandLine: vmInputArguments=[-Dproc_master, -XX:OnOutOfMemoryError=kill -9 %p, -Dhbase.log.dir=/hbase/hbase-2.2.2/logs, -Dhbase.log.file=hbase--master-server3.log, -Dhbase.home.dir=/hbase/hbase-2.2.2, -Dhbase.id.str=, -Dhbase.root.logger=INFO,RFA, -Dhbase.security.logger=INFO,RFAS]
2022-12-23 05:51:38,396 INFO  [main] metrics.MetricRegistries: Loaded MetricRegistries class org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl
2022-12-23 05:51:38,421 WARN  [main] util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2022-12-23 05:51:38,619 INFO  [main] regionserver.RSRpcServices: master/server3:16000 server-side Connection retries=45
2022-12-23 05:51:38,633 INFO  [main] ipc.RpcExecutor: Instantiated default.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=3, maxQueueLength=300, handlerCount=30
2022-12-23 05:51:38,633 INFO  [main] ipc.RpcExecutor: Instantiated priority.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=2, maxQueueLength=300, handlerCount=20
2022-12-23 05:51:38,633 INFO  [main] ipc.RpcExecutor: Instantiated replication.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=300, handlerCount=3
2022-12-23 05:51:38,633 INFO  [main] ipc.RpcExecutor: Instantiated metaPriority.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=300, handlerCount=1
2022-12-23 05:51:38,695 INFO  [main] ipc.RpcServerFactory: Creating org.apache.hadoop.hbase.ipc.NettyRpcServer hosting hbase.pb.MasterService, hbase.pb.RegionServerStatusService, hbase.pb.LockService, hbase.pb.HbckService, hbase.pb.ClientService, hbase.pb.AdminService
2022-12-23 05:51:38,755 INFO  [main] ipc.NettyRpcServer: Bind to /10.2.0.13:16000
2022-12-23 05:51:39,199 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2022-12-23 05:51:39,208 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2022-12-23 05:51:39,369 INFO  [main] zookeeper.RecoverableZooKeeper: Process identifier=master:16000 connecting to ZooKeeper ensemble=10.2.0.7:2181,10.2.0.6:2181,10.2.0.13:2181
2022-12-23 05:51:39,373 INFO  [main] zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
2022-12-23 05:51:39,374 INFO  [main] zookeeper.ZooKeeper: Client environment:host.name=server3
2022-12-23 05:51:39,374 INFO  [main] zookeeper.ZooKeeper: Client environment:java.version=1.8.0_242
2022-12-23 05:51:39,374 INFO  [main] zookeeper.ZooKeeper: Client environment:java.vendor=Oracle Corporation
2022-12-23 05:51:39,374 INFO  [main] zookeeper.ZooKeeper: Client environment:java.home=/usr/local/openjdk-8/jre
